pair,target
1_____B_4_2_303_314_316_1557_0001.tif,1
4_____B_4_2_303_314_316_6198_0001.tif,0
4_____B_4_2_303_314_316_8891_0001.tif,0
1_____B_4_2_303_314_316_13603_0001.tif,1
1_____B_4_2_303_314_316_12334_0001.tif,1
1_____B_4_2_303_314_316_4466_0001.tif,1
4_____B_4_2_303_314_316_5546_0001.tif,0
1_____B_4_2_303_314_316_12405_0001.tif,1
4_____B_4_2_303_314_316_6123_0001.tif,0
4_____B_4_2_303_314_316_11540_0001.tif,0
1_____B_4_2_303_314_316_12332_0001.tif,1
1_____B_4_2_303_314_316_14959_0001.tif,1
5_____B_4_2_303_314_316_5758_0001.tif,0
1_____B_4_2_303_314_316_1750_0001.tif,1
1_____B_4_2_303_314_316_2946_0001.tif,1
3_____B_4_2_303_314_316_8192_0001.tif,0
1_____B_4_2_303_314_316_13444_0001.tif,1
2_____B_4_2_303_314_316_48_0001.tif,0
4_____B_4_2_303_314_316_5615_0001.tif,0
1_____B_4_2_303_314_316_13731_0001.tif,1
5_____B_4_2_303_314_316_8163_0001.tif,0
1_____B_4_2_303_314_316_15055_0001.tif,1
1_____B_4_2_303_314_316_13055_0001.tif,1
5_____B_4_2_303_314_316_3983_0001.tif,0
5_____B_4_2_303_314_316_9257_0001.tif,0
5_____B_4_2_303_314_316_11020_0001.tif,0
2_____B_4_2_303_314_316_14386_0001.tif,0
1_____B_4_2_303_314_316_1130_0001.tif,1
4_____B_4_2_303_314_316_5842_0001.tif,0
1_____B_4_2_303_314_316_2797_0001.tif,1
1_____B_4_2_303_314_316_4798_0001.tif,1
5_____B_4_2_303_314_316_6409_0001.tif,0
4_____B_4_2_303_314_316_10745_0001.tif,0
1_____B_4_2_303_314_316_13085_0001.tif,1
7_____B_4_2_303_314_316_11756_0001.tif,0
1_____B_4_2_303_314_316_12954_0001.tif,1
3_____B_4_2_303_314_316_13507_0001.tif,0
1_____B_4_2_303_314_316_1793_0001.tif,1
1_____B_4_2_303_314_316_14793_0001.tif,1
1_____B_4_2_303_314_316_666_0001.tif,1
2_____B_4_2_303_314_316_14777_0001.tif,0
1_____B_4_2_303_314_316_13520_0001.tif,1
2_____B_4_2_303_314_316_15171_0001.tif,0
4_____B_4_2_303_314_316_5607_0001.tif,0
1_____B_4_2_303_314_316_4804_0001.tif,1
1_____B_4_2_303_314_316_4158_0001.tif,1
5_____B_4_2_303_314_316_6514_0001.tif,0
1_____B_4_2_303_314_316_2369_0001.tif,1
3_____B_4_2_303_314_316_15136_0001.tif,0
5_____B_4_2_303_314_316_9366_0001.tif,0
4_____B_4_2_303_314_316_856_0001.tif,0
5_____B_4_2_303_314_316_13840_0001.tif,0
1_____B_4_2_303_314_316_4171_0001.tif,1
2_____B_4_2_303_314_316_969_0001.tif,0
6_____B_4_2_303_314_316_9558_0001.tif,0
1_____B_4_2_303_314_316_1230_0001.tif,1
4_____B_4_2_303_314_316_11269_0001.tif,0
2_____B_4_2_303_314_316_14787_0001.tif,0
5_____B_4_2_303_314_316_8161_0001.tif,0
4_____B_4_2_303_314_316_11695_0001.tif,0
4_____B_4_2_303_314_316_11259_0001.tif,0
4_____B_4_2_303_314_316_6132_0001.tif,0
1_____B_4_2_303_314_316_13457_0001.tif,1
4_____B_4_2_303_314_316_8805_0001.tif,0
1_____B_4_2_303_314_316_12842_0001.tif,1
1_____B_4_2_303_314_316_2254_0001.tif,1
1_____B_4_2_303_314_316_12338_0001.tif,1
1_____B_4_2_303_314_316_15678_0001.tif,1
5_____B_4_2_303_314_316_10681_0001.tif,0
1_____B_4_2_303_314_316_12276_0001.tif,1
1_____B_4_2_303_314_316_1081_0001.tif,1
5_____B_4_2_303_314_316_11364_0001.tif,0
5_____B_4_2_303_314_316_9303_0001.tif,0
4_____B_4_2_303_314_316_8436_0001.tif,0
5_____B_4_2_303_314_316_10935_0001.tif,0
4_____B_4_2_303_314_316_8885_0001.tif,0
4_____B_4_2_303_314_316_5440_0001.tif,0
5_____B_4_2_303_314_316_6275_0001.tif,0
5_____B_4_2_303_314_316_5974_0001.tif,0
2_____B_4_2_303_314_316_566_0001.tif,0
1_____B_4_2_303_314_316_2313_0001.tif,1
4_____B_4_2_303_314_316_2377_0001.tif,0
3_____B_4_2_303_314_316_2089_0001.tif,0
4_____B_4_2_303_314_316_6122_0001.tif,0
1_____B_4_2_303_314_316_14388_0001.tif,1
1_____B_4_2_303_314_316_4399_0001.tif,1
1_____B_4_2_303_314_316_1450_0001.tif,1
5_____B_4_2_303_314_316_8081_0001.tif,0
1_____B_4_2_303_314_316_4432_0001.tif,1
1_____B_4_2_303_314_316_15488_0001.tif,1
1_____B_4_2_303_314_316_12951_0001.tif,1
1_____B_4_2_303_314_316_4469_0001.tif,1
1_____B_4_2_303_314_316_13606_0001.tif,1
3_____B_4_2_303_314_316_14080_0001.tif,0
2_____B_4_2_303_314_316_15280_0001.tif,0
1_____B_4_2_303_314_316_13571_0001.tif,1
1_____B_4_2_303_314_316_12358_0001.tif,1
5_____B_4_2_303_314_316_8690_0001.tif,0
3_____B_4_2_303_314_316_2634_0001.tif,0
1_____B_4_2_303_314_316_14358_0001.tif,1
1_____B_4_2_303_314_316_16277_0001.tif,1
1_____B_4_2_303_314_316_1989_0001.tif,1
2_____B_4_2_303_314_316_12935_0001.tif,0
5_____B_4_2_303_314_316_2985_0001.tif,0
1_____B_4_2_303_314_316_2624_0001.tif,1
1_____B_4_2_303_314_316_4623_0001.tif,1
4_____B_4_2_303_314_316_6124_0001.tif,0
1_____B_4_2_303_314_316_1440_0001.tif,1
4_____B_4_2_303_314_316_11840_0001.tif,0
1_____B_4_2_303_314_316_1886_0001.tif,1
4_____B_4_2_303_314_316_10857_0001.tif,0
4_____B_4_2_303_314_316_8441_0001.tif,0
1_____B_4_2_303_314_316_1144_0001.tif,1
5_____B_4_2_303_314_316_10607_0001.tif,0
2_____B_4_2_303_314_316_792_0001.tif,0
1_____B_4_2_303_314_316_14843_0001.tif,1
1_____B_4_2_303_314_316_13591_0001.tif,1
4_____B_4_2_303_314_316_5859_0001.tif,0
1_____B_4_2_303_314_316_14180_0001.tif,1
1_____B_4_2_303_314_316_13088_0001.tif,1
4_____B_4_2_303_314_316_5623_0001.tif,0
2_____B_4_2_303_314_316_16093_0001.tif,0
1_____B_4_2_303_314_316_3442_0001.tif,1
3_____B_4_2_303_314_316_11580_0001.tif,0
1_____B_4_2_303_314_316_12818_0001.tif,1
4_____B_4_2_303_314_316_8569_0001.tif,0
1_____B_4_2_303_314_316_191_0001.tif,1
1_____B_4_2_303_314_316_2838_0001.tif,1
1_____B_4_2_303_314_316_15036_0001.tif,1
5_____B_4_2_303_314_316_10491_0001.tif,0
1_____B_4_2_303_314_316_12164_0001.tif,1
6_____B_4_2_303_314_316_11606_0001.tif,0
2_____B_4_2_303_314_316_14999_0001.tif,0
4_____B_4_2_303_314_316_796_0001.tif,0
2_____B_4_2_303_314_316_2606_0001.tif,0
1_____B_4_2_303_314_316_12278_0001.tif,1
5_____B_4_2_303_314_316_11170_0001.tif,0
1_____B_4_2_303_314_316_13481_0001.tif,1
1_____B_4_2_303_314_316_11944_0001.tif,1
1_____B_4_2_303_314_316_1876_0001.tif,1
2_____B_4_2_303_314_316_971_0001.tif,0
6_____B_4_2_303_314_316_9596_0001.tif,0
4_____B_4_2_303_314_316_6159_0001.tif,0
1_____B_4_2_303_314_316_4474_0001.tif,1
1_____B_4_2_303_314_316_13092_0001.tif,1
1_____B_4_2_303_314_316_13001_0001.tif,1
1_____B_4_2_303_314_316_1907_0001.tif,1
1_____B_4_2_303_314_316_1661_0001.tif,1
5_____B_4_2_303_314_316_8637_0001.tif,0
4_____B_4_2_303_314_316_2485_0001.tif,0
1_____B_4_2_303_314_316_1917_0001.tif,1
1_____B_4_2_303_314_316_1732_0001.tif,1
2_____B_4_2_303_314_316_16320_0001.tif,0
1_____B_4_2_303_314_316_1344_0001.tif,1
1_____B_4_2_303_314_316_1100_0001.tif,1
1_____B_4_2_303_314_316_11936_0001.tif,1
2_____B_4_2_303_314_316_16091_0001.tif,0
5_____B_4_2_303_314_316_8124_0001.tif,0
4_____B_4_2_303_314_316_833_0001.tif,0
1_____B_4_2_303_314_316_13751_0001.tif,1
1_____B_4_2_303_314_316_1342_0001.tif,1
1_____B_4_2_303_314_316_4303_0001.tif,1
1_____B_4_2_303_314_316_147_0001.tif,1
2_____B_4_2_303_314_316_1256_0001.tif,0
1_____B_4_2_303_314_316_11931_0001.tif,1
1_____B_4_2_303_314_316_13654_0001.tif,1
1_____B_4_2_303_314_316_14251_0001.tif,1
1_____B_4_2_303_314_316_14097_0001.tif,1
1_____B_4_2_303_314_316_13304_0001.tif,1
1_____B_4_2_303_314_316_15053_0001.tif,1
4_____B_4_2_303_314_316_5636_0001.tif,0
1_____B_4_2_303_314_316_171_0001.tif,1
1_____B_4_2_303_314_316_14402_0001.tif,1
1_____B_4_2_303_314_316_4147_0001.tif,1
4_____B_4_2_303_314_316_10914_0001.tif,0
1_____B_4_2_303_314_316_3699_0001.tif,1
1_____B_4_2_303_314_316_1197_0001.tif,1
1_____B_4_2_303_314_316_13101_0001.tif,1
5_____B_4_2_303_314_316_9039_0001.tif,0
1_____B_4_2_303_314_316_12027_0001.tif,1
1_____B_4_2_303_314_316_13701_0001.tif,1
4_____B_4_2_303_314_316_11361_0001.tif,0
1_____B_4_2_303_314_316_2136_0001.tif,1
5_____B_4_2_303_314_316_9049_0001.tif,0
4_____B_4_2_303_314_316_7744_0001.tif,0
4_____B_4_2_303_314_316_11422_0001.tif,0
1_____B_4_2_303_314_316_13483_0001.tif,1
4_____B_4_2_303_314_316_8572_0001.tif,0
3_____B_4_2_303_314_316_14204_0001.tif,0
1_____B_4_2_303_314_316_15614_0001.tif,1
1_____B_4_2_303_314_316_13412_0001.tif,1
5_____B_4_2_303_314_316_6316_0001.tif,0
1_____B_4_2_303_314_316_14874_0001.tif,1
2_____B_4_2_303_314_316_16349_0001.tif,0
1_____B_4_2_303_314_316_1421_0001.tif,1
1_____B_4_2_303_314_316_13399_0001.tif,1
2_____B_4_2_303_314_316_1702_0001.tif,0
1_____B_4_2_303_314_316_4182_0001.tif,1
1_____B_4_2_303_314_316_14077_0001.tif,1
1_____B_4_2_303_314_316_1927_0001.tif,1
1_____B_4_2_303_314_316_1176_0001.tif,1
2_____B_4_2_303_314_316_14868_0001.tif,0
2_____B_4_2_303_314_316_15891_0001.tif,0
4_____B_4_2_303_314_316_9411_0001.tif,0
1_____B_4_2_303_314_316_14735_0001.tif,1
1_____B_4_2_303_314_316_12971_0001.tif,1
1_____B_4_2_303_314_316_1700_0001.tif,1
4_____B_4_2_303_314_316_11099_0001.tif,0
4_____B_4_2_303_314_316_787_0001.tif,0
5_____B_4_2_303_314_316_11328_0001.tif,0
1_____B_4_2_303_314_316_12287_0001.tif,1
4_____B_4_2_303_314_316_8900_0001.tif,0
5_____B_4_2_303_314_316_6083_0001.tif,0
1_____B_4_2_303_314_316_394_0001.tif,1
1_____B_4_2_303_314_316_14895_0001.tif,1
1_____B_4_2_303_314_316_14528_0001.tif,1
5_____B_4_2_303_314_316_8685_0001.tif,0
1_____B_4_2_303_314_316_1360_0001.tif,1
1_____B_4_2_303_314_316_14199_0001.tif,1
1_____B_4_2_303_314_316_4642_0001.tif,1
1_____B_4_2_303_314_316_14573_0001.tif,1
1_____B_4_2_303_314_316_691_0001.tif,1
3_____B_4_2_303_314_316_14002_0001.tif,0
5_____B_4_2_303_314_316_6026_0001.tif,0
4_____B_4_2_303_314_316_11495_0001.tif,0
1_____B_4_2_303_314_316_4793_0001.tif,1
1_____B_4_2_303_314_316_1424_0001.tif,1
1_____B_4_2_303_314_316_12280_0001.tif,1
4_____B_4_2_303_314_316_5877_0001.tif,0
4_____B_4_2_303_314_316_8876_0001.tif,0
6_____B_4_2_303_314_316_10466_0001.tif,0
2_____B_4_2_303_314_316_13726_0001.tif,0
1_____B_4_2_303_314_316_14320_0001.tif,1
5_____B_4_2_303_314_316_6528_0001.tif,0
5_____B_4_2_303_314_316_16365_0001.tif,0
1_____B_4_2_303_314_316_15540_0001.tif,1
5_____B_4_2_303_314_316_10517_0001.tif,0
5_____B_4_2_303_314_316_6303_0001.tif,0
1_____B_4_2_303_314_316_12230_0001.tif,1
4_____B_4_2_303_314_316_7764_0001.tif,0
1_____B_4_2_303_314_316_15027_0001.tif,1
1_____B_4_2_303_314_316_4454_0001.tif,1
4_____B_4_2_303_314_316_11036_0001.tif,0
3_____B_4_2_303_314_316_8288_0001.tif,0
5_____B_4_2_303_314_316_5809_0001.tif,0
1_____B_4_2_303_314_316_12213_0001.tif,1
1_____B_4_2_303_314_316_4786_0001.tif,1
4_____B_4_2_303_314_316_859_0001.tif,0
1_____B_4_2_303_314_316_13373_0001.tif,1
1_____B_4_2_303_314_316_586_0001.tif,1
5_____B_4_2_303_314_316_11773_0001.tif,0
1_____B_4_2_303_314_316_14858_0001.tif,1
1_____B_4_2_303_314_316_13383_0001.tif,1
4_____B_4_2_303_314_316_2686_0001.tif,0
1_____B_4_2_303_314_316_12098_0001.tif,1
1_____B_4_2_303_314_316_12389_0001.tif,1
2_____B_4_2_303_314_316_9485_0001.tif,0
1_____B_4_2_303_314_316_1192_0001.tif,1
4_____B_4_2_303_314_316_8740_0001.tif,0
4_____B_4_2_303_314_316_5918_0001.tif,0
2_____B_4_2_303_314_316_11425_0001.tif,0
4_____B_4_2_303_314_316_7888_0001.tif,0
1_____B_4_2_303_314_316_13116_0001.tif,1
3_____B_4_2_303_314_316_5573_0001.tif,0
1_____B_4_2_303_314_316_13372_0001.tif,1
1_____B_4_2_303_314_316_16415_0001.tif,1
1_____B_4_2_303_314_316_3440_0001.tif,1
1_____B_4_2_303_314_316_175_0001.tif,1
1_____B_4_2_303_314_316_2398_0001.tif,1
1_____B_4_2_303_314_316_15363_0001.tif,1
1_____B_4_2_303_314_316_15135_0001.tif,1
1_____B_4_2_303_314_316_4754_0001.tif,1
1_____B_4_2_303_314_316_897_0001.tif,1
1_____B_4_2_303_314_316_13511_0001.tif,1
1_____B_4_2_303_314_316_12225_0001.tif,1
1_____B_4_2_303_314_316_12932_0001.tif,1
1_____B_4_2_303_314_316_3855_0001.tif,1
1_____B_4_2_303_314_316_13368_0001.tif,1
1_____B_4_2_303_314_316_16343_0001.tif,1
1_____B_4_2_303_314_316_2002_0001.tif,1
1_____B_4_2_303_314_316_12171_0001.tif,1
5_____B_4_2_303_314_316_11744_0001.tif,0
1_____B_4_2_303_314_316_2009_0001.tif,1
2_____B_4_2_303_314_316_2493_0001.tif,0
2_____B_4_2_303_314_316_6342_0001.tif,0
1_____B_4_2_303_314_316_2632_0001.tif,1
3_____B_4_2_303_314_316_11578_0001.tif,0
4_____B_4_2_303_314_316_10902_0001.tif,0
4_____B_4_2_303_314_316_11571_0001.tif,0
1_____B_4_2_303_314_316_4717_0001.tif,1
4_____B_4_2_303_314_316_8509_0001.tif,0
4_____B_4_2_303_314_316_11509_0001.tif,0
3_____B_4_2_303_314_316_16044_0001.tif,0
1_____B_4_2_303_314_316_13667_0001.tif,1
5_____B_4_2_303_314_316_6455_0001.tif,0
4_____B_4_2_303_314_316_381_0001.tif,0
3_____B_4_2_303_314_316_869_0001.tif,0
4_____B_4_2_303_314_316_431_0001.tif,0
5_____B_4_2_303_314_316_9389_0001.tif,0
5_____B_4_2_303_314_316_9058_0001.tif,0
1_____B_4_2_303_314_316_15621_0001.tif,1
6_____B_4_2_303_314_316_8134_0001.tif,0
1_____B_4_2_303_314_316_98_0001.tif,1
2_____B_4_2_303_314_316_15786_0001.tif,0
1_____B_4_2_303_314_316_605_0001.tif,1
1_____B_4_2_303_314_316_12186_0001.tif,1
1_____B_4_2_303_314_316_12360_0001.tif,1
1_____B_4_2_303_314_316_268_0001.tif,1
4_____B_4_2_303_314_316_5740_0001.tif,0
1_____B_4_2_303_314_316_2635_0001.tif,1
1_____B_4_2_303_314_316_14447_0001.tif,1
1_____B_4_2_303_314_316_2631_0001.tif,1
4_____B_4_2_303_314_316_10913_0001.tif,0
1_____B_4_2_303_314_316_61_0001.tif,1
4_____B_4_2_303_314_316_5484_0001.tif,0
1_____B_4_2_303_314_316_2455_0001.tif,1
1_____B_4_2_303_314_316_1551_0001.tif,1
2_____B_4_2_303_314_316_15425_0001.tif,0
1_____B_4_2_303_314_316_549_0001.tif,1
4_____B_4_2_303_314_316_5469_0001.tif,0
1_____B_4_2_303_314_316_13405_0001.tif,1
2_____B_4_2_303_314_316_16071_0001.tif,0
4_____B_4_2_303_314_316_799_0001.tif,0
1_____B_4_2_303_314_316_1773_0001.tif,1
2_____B_4_2_303_314_316_15175_0001.tif,0
3_____B_4_2_303_314_316_13501_0001.tif,0
4_____B_4_2_303_314_316_8454_0001.tif,0
4_____B_4_2_303_314_316_8472_0001.tif,0
1_____B_4_2_303_314_316_13335_0001.tif,1
1_____B_4_2_303_314_316_13031_0001.tif,1
4_____B_4_2_303_314_316_3854_0001.tif,0
2_____B_4_2_303_314_316_2235_0001.tif,0
5_____B_4_2_303_314_316_8012_0001.tif,0
1_____B_4_2_303_314_316_1817_0001.tif,1
5_____B_4_2_303_314_316_6163_0001.tif,0
4_____B_4_2_303_314_316_8844_0001.tif,0
1_____B_4_2_303_314_316_13274_0001.tif,1
1_____B_4_2_303_314_316_13017_0001.tif,1
4_____B_4_2_303_314_316_6150_0001.tif,0
1_____B_4_2_303_314_316_1792_0001.tif,1
1_____B_4_2_303_314_316_12245_0001.tif,1
4_____B_4_2_303_314_316_10817_0001.tif,0
2_____B_4_2_303_314_316_14601_0001.tif,0
3_____B_4_2_303_314_316_11568_0001.tif,0
1_____B_4_2_303_314_316_562_0001.tif,1
4_____B_4_2_303_314_316_9412_0001.tif,0
1_____B_4_2_303_314_316_13669_0001.tif,1
1_____B_4_2_303_314_316_2648_0001.tif,1
5_____B_4_2_303_314_316_8991_0001.tif,0
5_____B_4_2_303_314_316_8206_0001.tif,0
4_____B_4_2_303_314_316_8393_0001.tif,0
4_____B_4_2_303_314_316_11558_0001.tif,0
1_____B_4_2_303_314_316_4634_0001.tif,1
4_____B_4_2_303_314_316_9172_0001.tif,0
4_____B_4_2_303_314_316_8466_0001.tif,0
1_____B_4_2_303_314_316_4373_0001.tif,1
4_____B_4_2_303_314_316_10905_0001.tif,0
1_____B_4_2_303_314_316_12039_0001.tif,1
2_____B_4_2_303_314_316_16132_0001.tif,0
1_____B_4_2_303_314_316_13637_0001.tif,1
1_____B_4_2_303_314_316_4301_0001.tif,1
1_____B_4_2_303_314_316_1517_0001.tif,1
1_____B_4_2_303_314_316_4258_0001.tif,1
1_____B_4_2_303_314_316_4178_0001.tif,1
4_____B_4_2_303_314_316_13834_0001.tif,0
1_____B_4_2_303_314_316_15542_0001.tif,1
1_____B_4_2_303_314_316_1209_0001.tif,1
1_____B_4_2_303_314_316_15121_0001.tif,1
4_____B_4_2_303_314_316_520_0001.tif,0
5_____B_4_2_303_314_316_10486_0001.tif,0
1_____B_4_2_303_314_316_14875_0001.tif,1
4_____B_4_2_303_314_316_783_0001.tif,0
1_____B_4_2_303_314_316_14196_0001.tif,1
4_____B_4_2_303_314_316_5611_0001.tif,0
4_____B_4_2_303_314_316_11092_0001.tif,0
4_____B_4_2_303_314_316_9538_0001.tif,0
1_____B_4_2_303_314_316_3415_0001.tif,1
4_____B_4_2_303_314_316_8246_0001.tif,0
4_____B_4_2_303_314_316_3339_0001.tif,0
4_____B_4_2_303_314_316_1050_0001.tif,0
5_____B_4_2_303_314_316_5361_0001.tif,0
1_____B_4_2_303_314_316_14221_0001.tif,1
4_____B_4_2_303_314_316_5482_0001.tif,0
1_____B_4_2_303_314_316_1454_0001.tif,1
1_____B_4_2_303_314_316_12231_0001.tif,1
4_____B_4_2_303_314_316_1994_0001.tif,0
1_____B_4_2_303_314_316_2022_0001.tif,1
4_____B_4_2_303_314_316_5490_0001.tif,0
1_____B_4_2_303_314_316_13661_0001.tif,1
6_____B_4_2_303_314_316_8616_0001.tif,0
1_____B_4_2_303_314_316_14184_0001.tif,1
1_____B_4_2_303_314_316_219_0001.tif,1
1_____B_4_2_303_314_316_12123_0001.tif,1
1_____B_4_2_303_314_316_1742_0001.tif,1
1_____B_4_2_303_314_316_2396_0001.tif,1
5_____B_4_2_303_314_316_2536_0001.tif,0
5_____B_4_2_303_314_316_5481_0001.tif,0
2_____B_4_2_303_314_316_14593_0001.tif,0
2_____B_4_2_303_314_316_15773_0001.tif,0
2_____B_4_2_303_314_316_11465_0001.tif,0
1_____B_4_2_303_314_316_753_0001.tif,1
4_____B_4_2_303_314_316_1749_0001.tif,0
3_____B_4_2_303_314_316_3001_0001.tif,0
